name,ability,hp,atk,def,spdef,spatk,spd,gender,evolution_level,evolves_into,method,egg_group
pikipek,"keen-eye, skill-link, pickup",35,75,30,30,30,65,50% Male, 50% Female,14,trumbeak,level-up,"flying"
trumbeak,"keen-eye, skill-link, pickup",55,85,50,50,40,75,50% Male, 50% Female,14,trumbeak,level-up,"flying"
toucannon,"keen-eye, skill-link, sheer-force",80,120,75,75,75,60,50% Male, 50% Female,14,trumbeak,level-up,"flying"
yungoos,"stakeout, strong-jaw, adaptability",48,70,30,30,30,45,50% Male, 50% Female,20,gumshoos,level-up,"ground"
gumshoos,"stakeout, strong-jaw, adaptability",88,110,60,60,55,45,50% Male, 50% Female,20,gumshoos,level-up,"ground"
grubbin,"swarm",47,62,45,45,55,46,50% Male, 50% Female,20,charjabug,level-up,"bug"
charjabug,"battery",57,82,95,75,55,36,50% Male, 50% Female,20,charjabug,level-up,"bug"
vikavolt,"levitate",77,70,90,75,145,43,50% Male, 50% Female,20,charjabug,level-up,"bug"
crabrawler,"hyper-cutter, iron-fist, anger-point",47,82,57,47,42,63,50% Male, 50% Female,,crabominable,level-up,"water3"
crabominable,"hyper-cutter, iron-fist, anger-point",97,132,77,67,62,43,50% Male, 50% Female,,crabominable,level-up,"water3"
oricorio-baile,"dancer",75,70,70,70,98,93,25% Male, 75% Female,,,,"flying"
cutiefly,"honey-gather, shield-dust, sweet-veil",40,45,40,40,55,84,50% Male, 50% Female,25,ribombee,level-up,"bug, fairy"
ribombee,"honey-gather, shield-dust, sweet-veil",60,55,60,70,95,124,50% Male, 50% Female,25,ribombee,level-up,"bug, fairy"
rockruff,"keen-eye, vital-spirit, steadfast",45,65,40,40,30,60,50% Male, 50% Female,25,lycanroc,level-up,"ground"
lycanroc-midday,"keen-eye, sand-rush, steadfast",75,115,65,65,55,112,50% Male, 50% Female,25,lycanroc,level-up,"ground"
wishiwashi-solo,"schooling",45,20,20,25,25,40,50% Male, 50% Female,,,,"water2"
mareanie,"merciless, limber, regenerator",50,53,62,52,43,45,50% Male, 50% Female,38,toxapex,level-up,"water1"
toxapex,"merciless, limber, regenerator",50,63,152,142,53,35,50% Male, 50% Female,38,toxapex,level-up,"water1"
mudbray,"own-tempo, stamina, inner-focus",70,100,70,55,45,45,50% Male, 50% Female,30,mudsdale,level-up,"ground"
mudsdale,"own-tempo, stamina, inner-focus",100,125,100,85,55,35,50% Male, 50% Female,30,mudsdale,level-up,"ground"
dewpider,"water-bubble, water-absorb",38,40,52,72,40,27,50% Male, 50% Female,22,araquanid,level-up,"water1, bug"
araquanid,"water-bubble, water-absorb",68,70,92,132,50,42,50% Male, 50% Female,22,araquanid,level-up,"water1, bug"
fomantis,"leaf-guard, contrary",40,55,35,35,50,35,50% Male, 50% Female,34,lurantis,level-up,"plant"
lurantis,"leaf-guard, contrary",70,105,90,90,80,45,50% Male, 50% Female,34,lurantis,level-up,"plant"
morelull,"illuminate, effect-spore, rain-dish",40,35,55,75,65,15,50% Male, 50% Female,24,shiinotic,level-up,"plant"
shiinotic,"illuminate, effect-spore, rain-dish",60,45,80,100,90,30,50% Male, 50% Female,24,shiinotic,level-up,"plant"
salandit,"corrosion, oblivious",48,44,40,40,71,77,87.5% Male, 12.5% Female,33,salazzle,level-up,"monster, dragon"
salazzle,"corrosion, oblivious",68,64,60,60,111,117,Female only,33,salazzle,level-up,"monster, dragon"
stufful,"fluffy, klutz, cute-charm",70,75,50,50,45,50,50% Male, 50% Female,27,bewear,level-up,"ground"
bewear,"fluffy, klutz, unnerve",120,125,80,60,55,60,50% Male, 50% Female,27,bewear,level-up,"ground"
bounsweet,"leaf-guard, oblivious, sweet-veil",42,30,38,38,30,32,Female only,18,steenee,level-up,"plant"
steenee,"leaf-guard, oblivious, sweet-veil",52,40,48,48,40,62,Female only,18,steenee,level-up,"plant"
tsareena,"leaf-guard, queenly-majesty, sweet-veil",72,120,98,98,50,72,Female only,18,steenee,level-up,"plant"
comfey,"flower-veil, triage, natural-cure",51,52,90,110,82,100,25% Male, 75% Female,,,,"plant"
oranguru,"inner-focus, telepathy, symbiosis",90,60,80,110,90,60,50% Male, 50% Female,,,,"ground"
passimian,"receiver, defiant",100,120,90,60,40,80,50% Male, 50% Female,,,,"ground"
wimpod,"wimp-out",25,35,40,30,20,80,50% Male, 50% Female,30,golisopod,level-up,"bug, water3"
golisopod,"emergency-exit",75,125,140,90,60,40,50% Male, 50% Female,30,golisopod,level-up,"bug, water3"
sandygast,"water-compaction, sand-veil",55,55,80,45,70,15,50% Male, 50% Female,42,palossand,level-up,"indeterminate"
palossand,"water-compaction, sand-veil",85,75,110,75,100,35,50% Male, 50% Female,42,palossand,level-up,"indeterminate"
pyukumuku,"innards-out, unaware",55,60,130,130,30,5,50% Male, 50% Female,,,,"water1"
type-null,"battle-armor",95,95,95,95,95,59,Genderless,,silvally,level-up,"no-eggs"
silvally,"rks-system",95,95,95,95,95,95,Genderless,,silvally,level-up,"no-eggs"
minior-red-meteor,"shields-down",60,60,100,100,60,60,Genderless,,,,"mineral"
komala,"comatose",65,115,65,95,75,65,50% Male, 50% Female,,,,"ground"
turtonator,"shell-armor",60,78,135,85,91,36,50% Male, 50% Female,,,,"monster, dragon"
togedemaru,"iron-barbs, lightning-rod, sturdy",65,98,63,73,40,96,50% Male, 50% Female,,,,"ground, fairy"
mimikyu-disguised,"disguise",55,90,80,105,50,96,50% Male, 50% Female,,,,"indeterminate"
bruxish,"dazzling, strong-jaw, wonder-skin",68,105,70,70,70,92,50% Male, 50% Female,,,,"water2"
drampa,"berserk, sap-sipper, cloud-nine",78,60,85,91,135,36,50% Male, 50% Female,,,,"monster, dragon"
dhelmise,"steelworker",70,131,100,90,86,40,Genderless,,,,"mineral"
jangmo-o,"bulletproof, soundproof, overcoat",45,55,65,45,45,45,50% Male, 50% Female,35,hakamo-o,level-up,"dragon"
hakamo-o,"bulletproof, soundproof, overcoat",55,75,90,70,65,65,50% Male, 50% Female,35,hakamo-o,level-up,"dragon"
kommo-o,"bulletproof, soundproof, overcoat",75,110,125,105,100,85,50% Male, 50% Female,35,hakamo-o,level-up,"dragon"
tapu-koko,"electric-surge, telepathy",70,115,85,75,95,130,Genderless,,,,"no-eggs"
tapu-lele,"psychic-surge, telepathy",70,85,75,115,130,95,Genderless,,,,"no-eggs"
tapu-bulu,"grassy-surge, telepathy",70,130,115,95,85,75,Genderless,,,,"no-eggs"
tapu-fini,"misty-surge, telepathy",70,75,115,130,95,85,Genderless,,,,"no-eggs"
cosmog,"unaware",43,29,31,31,29,37,Genderless,43,cosmoem,level-up,"no-eggs"
cosmoem,"sturdy",43,29,131,131,29,37,Genderless,43,cosmoem,level-up,"no-eggs"
solgaleo,"full-metal-body",137,137,107,89,113,97,Genderless,43,cosmoem,level-up,"no-eggs"
lunala,"shadow-shield",137,113,89,107,137,97,Genderless,43,cosmoem,level-up,"no-eggs"
nihilego,"beast-boost",109,53,47,131,127,103,Genderless,,,,"no-eggs"
buzzwole,"beast-boost",107,139,139,53,53,79,Genderless,,,,"no-eggs"
pheromosa,"beast-boost",71,137,37,37,137,151,Genderless,,,,"no-eggs"
xurkitree,"beast-boost",83,89,71,71,173,83,Genderless,,,,"no-eggs"
celesteela,"beast-boost",97,101,103,101,107,61,Genderless,,,,"no-eggs"
kartana,"beast-boost",59,181,131,31,59,109,Genderless,,,,"no-eggs"
guzzlord,"beast-boost",223,101,53,53,97,43,Genderless,,,,"no-eggs"
necrozma,"prism-armor",97,107,101,89,127,79,Genderless,,,,"no-eggs"
magearna,"soul-heart",80,95,115,115,130,65,Genderless,,,,"no-eggs"
marshadow,"technician",90,125,80,90,90,125,Genderless,,,,"no-eggs"
poipole,"beast-boost",67,73,67,67,73,73,Genderless,,naganadel,level-up,"no-eggs"
naganadel,"beast-boost",73,73,73,73,127,121,Genderless,,naganadel,level-up,"no-eggs"
stakataka,"beast-boost",61,131,211,101,53,13,Genderless,,,,"no-eggs"
blacephalon,"beast-boost",53,127,53,79,151,107,Genderless,,,,"no-eggs"
zeraora,"volt-absorb",88,112,75,80,102,143,Genderless,,,,"no-eggs"
meltan,"magnet-pull",46,65,65,35,55,34,Genderless,,,,"no-eggs"
melmetal,"iron-fist",135,143,143,65,80,34,Genderless,,,,"no-eggs"
grookey,"overgrow, grassy-surge",50,65,50,40,40,65,87.5% Male, 12.5% Female,16,thwackey,level-up,"ground, plant"
thwackey,"overgrow, grassy-surge",70,85,70,60,55,80,87.5% Male, 12.5% Female,16,thwackey,level-up,"ground, plant"
rillaboom,"overgrow, grassy-surge",100,125,90,70,60,85,87.5% Male, 12.5% Female,16,thwackey,level-up,"ground, plant"
scorbunny,"blaze, libero",50,71,40,40,40,69,87.5% Male, 12.5% Female,16,raboot,level-up,"ground, humanshape"
raboot,"blaze, libero",65,86,60,60,55,94,87.5% Male, 12.5% Female,16,raboot,level-up,"ground, humanshape"
cinderace,"blaze, libero",80,116,75,75,65,119,87.5% Male, 12.5% Female,16,raboot,level-up,"ground, humanshape"
sobble,"torrent, sniper",50,40,40,40,70,70,87.5% Male, 12.5% Female,16,drizzile,level-up,"water1, ground"
drizzile,"torrent, sniper",65,60,55,55,95,90,87.5% Male, 12.5% Female,16,drizzile,level-up,"water1, ground"
inteleon,"torrent, sniper",70,85,65,65,125,120,87.5% Male, 12.5% Female,16,drizzile,level-up,"water1, ground"
skwovet,"cheek-pouch, gluttony",70,55,55,35,35,25,50% Male, 50% Female,24,greedent,level-up,"ground"
greedent,"cheek-pouch, gluttony",120,95,95,75,55,20,50% Male, 50% Female,24,greedent,level-up,"ground"
rookidee,"keen-eye, unnerve, big-pecks",38,47,35,35,33,57,50% Male, 50% Female,18,corvisquire,level-up,"flying"
corvisquire,"keen-eye, unnerve, big-pecks",68,67,55,55,43,77,50% Male, 50% Female,18,corvisquire,level-up,"flying"
corviknight,"pressure, unnerve, mirror-armor",98,87,105,85,53,67,50% Male, 50% Female,18,corvisquire,level-up,"flying"
blipbug,"swarm, compound-eyes, telepathy",25,20,20,45,25,45,50% Male, 50% Female,10,dottler,level-up,"bug"
dottler,"swarm, compound-eyes, telepathy",50,35,80,90,50,30,50% Male, 50% Female,10,dottler,level-up,"bug"
orbeetle,"swarm, frisk, telepathy",60,45,110,120,80,90,50% Male, 50% Female,10,dottler,level-up,"bug"
nickit,"run-away, unburden, stakeout",40,28,28,52,47,50,50% Male, 50% Female,18,thievul,level-up,"ground"
thievul,"run-away, unburden, stakeout",70,58,58,92,87,90,50% Male, 50% Female,18,thievul,level-up,"ground"
gossifleur,"cotton-down, regenerator, effect-spore",40,40,60,60,40,10,50% Male, 50% Female,20,eldegoss,level-up,"plant"
eldegoss,"cotton-down, regenerator, effect-spore",60,50,90,120,80,60,50% Male, 50% Female,20,eldegoss,level-up,"plant"
wooloo,"fluffy, run-away, bulletproof",42,40,55,45,40,48,50% Male, 50% Female,24,dubwool,level-up,"ground"
dubwool,"fluffy, steadfast, bulletproof",72,80,100,90,60,88,50% Male, 50% Female,24,dubwool,level-up,"ground"
chewtle,"strong-jaw, shell-armor, swift-swim",50,64,50,38,38,44,50% Male, 50% Female,22,drednaw,level-up,"monster, water1"
drednaw,"strong-jaw, shell-armor, swift-swim",90,115,90,68,48,74,50% Male, 50% Female,22,drednaw,level-up,"monster, water1"
yamper,"ball-fetch, rattled",59,45,50,50,40,26,50% Male, 50% Female,25,boltund,level-up,"ground"
boltund,"strong-jaw, competitive",69,90,60,60,90,121,50% Male, 50% Female,25,boltund,level-up,"ground"
rolycoly,"steam-engine, heatproof, flash-fire",30,40,50,50,40,30,50% Male, 50% Female,18,carkol,level-up,"mineral"
carkol,"steam-engine, flame-body, flash-fire",80,60,90,70,60,50,50% Male, 50% Female,18,carkol,level-up,"mineral"
coalossal,"steam-engine, flame-body, flash-fire",110,80,120,90,80,30,50% Male, 50% Female,18,carkol,level-up,"mineral"
applin,"ripen, gluttony, bulletproof",40,40,80,40,40,20,50% Male, 50% Female,,flapple,use-item,"plant, dragon"
flapple,"ripen, gluttony, hustle",70,110,80,60,95,70,50% Male, 50% Female,,flapple,use-item,"plant, dragon"
appletun,"ripen, gluttony, thick-fat",110,85,80,80,100,30,50% Male, 50% Female,,flapple,use-item,"plant, dragon"
silicobra,"sand-spit, shed-skin, sand-veil",52,57,75,50,35,46,50% Male, 50% Female,36,sandaconda,level-up,"ground, dragon"
sandaconda,"sand-spit, shed-skin, sand-veil",72,107,125,70,65,71,50% Male, 50% Female,36,sandaconda,level-up,"ground, dragon"
cramorant,"gulp-missile",70,85,55,95,85,85,50% Male, 50% Female,,,,"water1, flying"
arrokuda,"swift-swim, propeller-tail",41,63,40,30,40,66,50% Male, 50% Female,26,barraskewda,level-up,"water2"
barraskewda,"swift-swim, propeller-tail",61,123,60,50,60,136,50% Male, 50% Female,26,barraskewda,level-up,"water2"
toxel,"rattled, static, klutz",40,38,35,35,54,40,50% Male, 50% Female,30,toxtricity,level-up,"no-eggs"
toxtricity-amped,"punk-rock, plus, technician",75,98,70,70,114,75,50% Male, 50% Female,30,toxtricity,level-up,"humanshape"
sizzlipede,"flash-fire, white-smoke, flame-body",50,65,45,50,50,45,50% Male, 50% Female,28,centiskorch,level-up,"bug"
centiskorch,"flash-fire, white-smoke, flame-body",100,115,65,90,90,65,50% Male, 50% Female,28,centiskorch,level-up,"bug"
clobbopus,"limber, technician",50,68,60,50,50,32,50% Male, 50% Female,,grapploct,level-up,"water1, humanshape"
grapploct,"limber, technician",80,118,90,80,70,42,50% Male, 50% Female,,grapploct,level-up,"water1, humanshape"
sinistea,"weak-armor, cursed-body",40,45,45,54,74,50,Genderless,,polteageist,use-item,"mineral, indeterminate"
polteageist,"weak-armor, cursed-body",60,65,65,114,134,70,Genderless,,polteageist,use-item,"mineral, indeterminate"
hatenna,"healer, anticipation, magic-bounce",42,30,45,53,56,39,Female only,32,hattrem,level-up,"fairy"
hattrem,"healer, anticipation, magic-bounce",57,40,65,73,86,49,Female only,32,hattrem,level-up,"fairy"
hatterene,"healer, anticipation, magic-bounce",57,90,95,103,136,29,Female only,32,hattrem,level-up,"fairy"
impidimp,"prankster, frisk, pickpocket",45,45,30,40,55,50,Male only,32,morgrem,level-up,"fairy, humanshape"
morgrem,"prankster, frisk, pickpocket",65,60,45,55,75,70,Male only,32,morgrem,level-up,"fairy, humanshape"
grimmsnarl,"prankster, frisk, pickpocket",95,120,65,75,95,60,Male only,32,morgrem,level-up,"fairy, humanshape"
obstagoon,"reckless, guts, defiant",93,90,101,81,60,95,50% Male, 50% Female,20,linoone,level-up,"ground"
perrserker,"battle-armor, tough-claws, steely-spirit",70,110,100,60,50,50,50% Male, 50% Female,28,persian,level-up,"ground"
cursola,"weak-armor, perish-body",60,95,50,130,145,30,25% Male, 75% Female,38,cursola,level-up,"water1, water3"
sirfetchd,"steadfast, scrappy",62,135,95,82,68,65,50% Male, 50% Female,,sirfetchd,three-critical-hits,"flying, ground"
mr-rime,"tangled-feet, screen-cleaner, ice-body",80,85,75,100,110,70,50% Male, 50% Female,,mr-mime,level-up,"humanshape"
runerigus,"wandering-spirit",58,95,145,105,50,30,50% Male, 50% Female,34,cofagrigus,level-up,"mineral, indeterminate"
milcery,"sweet-veil, aroma-veil",45,40,40,61,50,34,Female only,,alcremie,spin,"fairy, indeterminate"
alcremie,"sweet-veil, aroma-veil",65,60,75,121,110,64,Female only,,alcremie,spin,"fairy, indeterminate"
falinks,"battle-armor, defiant",65,100,100,60,70,75,Genderless,,,,"fairy, mineral"
pincurchin,"lightning-rod, electric-surge",48,101,95,85,91,15,50% Male, 50% Female,,,,"water1, indeterminate"
snom,"shield-dust, ice-scales",30,25,35,30,45,20,50% Male, 50% Female,,frosmoth,level-up,"bug"
frosmoth,"shield-dust, ice-scales",70,65,60,90,125,65,50% Male, 50% Female,,frosmoth,level-up,"bug"
stonjourner,"power-spot",100,125,135,20,20,70,50% Male, 50% Female,,,,"mineral"
eiscue-ice,"ice-face",75,80,110,90,65,50,50% Male, 50% Female,,,,"water1, ground"
indeedee-male,"inner-focus, synchronize, psychic-surge",60,65,55,95,105,95,50% Male, 50% Female,,,,"fairy"
morpeko-full-belly,"hunger-switch",58,95,58,58,70,97,50% Male, 50% Female,,,,"ground, fairy"
cufant,"sheer-force, heavy-metal",72,80,49,49,40,40,50% Male, 50% Female,34,copperajah,level-up,"ground, mineral"
copperajah,"sheer-force, heavy-metal",122,130,69,69,80,30,50% Male, 50% Female,34,copperajah,level-up,"ground, mineral"
dracozolt,"volt-absorb, hustle, sand-rush",90,100,90,70,80,75,Genderless,,,,"no-eggs"
arctozolt,"volt-absorb, static, slush-rush",90,100,90,80,90,55,Genderless,,,,"no-eggs"
dracovish,"water-absorb, strong-jaw, sand-rush",90,90,100,80,70,75,Genderless,,,,"no-eggs"
arctovish,"water-absorb, ice-body, slush-rush",90,90,100,90,80,55,Genderless,,,,"no-eggs"
duraludon,"light-metal, heavy-metal, stalwart",70,95,115,50,120,85,50% Male, 50% Female,,archaludon,,"mineral, dragon"
dreepy,"clear-body, infiltrator, cursed-body",28,60,30,30,40,82,50% Male, 50% Female,50,drakloak,level-up,"indeterminate, dragon"
drakloak,"clear-body, infiltrator, cursed-body",68,80,50,50,60,102,50% Male, 50% Female,50,drakloak,level-up,"indeterminate, dragon"
dragapult,"clear-body, infiltrator, cursed-body",88,120,75,75,100,142,50% Male, 50% Female,50,drakloak,level-up,"indeterminate, dragon"
zacian,"intrepid-sword",92,120,115,115,80,138,Genderless,,,,"no-eggs"
zamazenta,"dauntless-shield",92,120,115,115,80,138,Genderless,,,,"no-eggs"
eternatus,"pressure",140,85,95,95,145,130,Genderless,,,,"no-eggs"
kubfu,"inner-focus",60,90,60,50,53,72,87.5% Male, 12.5% Female,,urshifu,tower-of-darkness,"no-eggs"
urshifu-single-strike,"unseen-fist",100,130,100,60,63,97,87.5% Male, 12.5% Female,,urshifu,tower-of-darkness,"no-eggs"
zarude,"leaf-guard",105,120,105,95,70,105,Genderless,,,,"no-eggs"
regieleki,"transistor",80,100,50,50,100,200,Genderless,,,,"no-eggs"
regidrago,"dragons-maw",200,100,50,50,100,80,Genderless,,,,"no-eggs"
glastrier,"chilling-neigh",100,145,130,110,65,30,Genderless,,,,"no-eggs"
spectrier,"grim-neigh",100,65,60,80,145,130,Genderless,,,,"no-eggs"
calyrex,"unnerve",100,80,80,80,80,80,Genderless,,,,"no-eggs"
wyrdeer,"intimidate, frisk, sap-sipper",103,105,72,75,105,65,50% Male, 50% Female,,wyrdeer,agile-style-move,"ground"
kleavor,"swarm, sheer-force, sharpness",70,135,95,70,45,85,50% Male, 50% Female,,scizor,trade,"bug"
ursaluna,"guts, bulletproof, unnerve",130,140,105,80,45,50,50% Male, 50% Female,30,ursaring,level-up,"ground"
basculegion-male,"swift-swim, adaptability, mold-breaker",120,112,65,75,80,78,50% Male, 50% Female,,basculegion,recoil-damage,"water2"
sneasler,"pressure, unburden, poison-touch",80,130,60,80,40,120,50% Male, 50% Female,,weavile,level-up,"ground"
overqwil,"poison-point, swift-swim, intimidate",85,115,95,65,65,85,50% Male, 50% Female,,overqwil,strong-style-move,"water2"
enamorus-incarnate,"cute-charm, contrary",74,115,70,80,135,106,Female only,,,,"no-eggs"
sprigatito,"overgrow, protean",40,61,54,45,45,65,87.5% Male, 12.5% Female,16,floragato,level-up,"ground, plant"
floragato,"overgrow, protean",61,80,63,63,60,83,87.5% Male, 12.5% Female,16,floragato,level-up,"ground, plant"
meowscarada,"overgrow, protean",76,110,70,70,81,123,87.5% Male, 12.5% Female,16,floragato,level-up,"ground, plant"
fuecoco,"blaze, unaware",67,45,59,40,63,36,87.5% Male, 12.5% Female,16,crocalor,level-up,"ground"
crocalor,"blaze, unaware",81,55,78,58,90,49,87.5% Male, 12.5% Female,16,crocalor,level-up,"ground"
skeledirge,"blaze, unaware",104,75,100,75,110,66,87.5% Male, 12.5% Female,16,crocalor,level-up,"ground"
quaxly,"torrent, moxie",55,65,45,45,50,50,87.5% Male, 12.5% Female,16,quaxwell,level-up,"flying, water1"
quaxwell,"torrent, moxie",70,85,65,60,65,65,87.5% Male, 12.5% Female,16,quaxwell,level-up,"flying, water1"
quaquaval,"torrent, moxie",85,120,80,75,85,85,87.5% Male, 12.5% Female,16,quaxwell,level-up,"flying, water1"
lechonk,"aroma-veil, gluttony, thick-fat",54,45,40,45,35,35,50% Male, 50% Female,18,oinkologne,level-up,"ground"
oinkologne-male,"lingering-aroma, gluttony, thick-fat",110,100,75,80,59,65,Male only,18,oinkologne,level-up,"ground"
tarountula,"insomnia, stakeout",35,41,45,40,29,20,50% Male, 50% Female,15,spidops,level-up,"bug"
spidops,"insomnia, stakeout",60,79,92,86,52,35,50% Male, 50% Female,15,spidops,level-up,"bug"
nymble,"swarm, tinted-lens",33,46,40,25,21,45,50% Male, 50% Female,24,lokix,level-up,"bug"
lokix,"swarm, tinted-lens",71,102,78,55,52,92,50% Male, 50% Female,24,lokix,level-up,"bug"
pawmi,"static, natural-cure, iron-fist",45,50,20,25,40,60,50% Male, 50% Female,18,pawmo,level-up,"ground"
pawmo,"volt-absorb, natural-cure, iron-fist",60,75,40,40,50,85,50% Male, 50% Female,18,pawmo,level-up,"ground"
pawmot,"volt-absorb, natural-cure, iron-fist",70,115,70,60,70,105,50% Male, 50% Female,18,pawmo,level-up,"ground"
tandemaus,"run-away, pickup, own-tempo",50,50,45,45,40,75,Genderless,25,maushold,other,"ground, fairy"
maushold-family-of-four,"friend-guard, cheek-pouch, technician",74,75,70,75,65,111,Genderless,25,maushold,other,"ground, fairy"
fidough,"own-tempo, klutz",37,55,70,55,30,65,50% Male, 50% Female,26,dachsbun,level-up,"ground, mineral"
dachsbun,"well-baked-body, aroma-veil",57,80,115,80,50,95,50% Male, 50% Female,26,dachsbun,level-up,"ground, mineral"
smoliv,"early-bird, harvest",41,35,45,51,58,30,50% Male, 50% Female,25,dolliv,level-up,"plant"
dolliv,"early-bird, harvest",52,53,60,78,78,33,50% Male, 50% Female,25,dolliv,level-up,"plant"
arboliva,"seed-sower, harvest",78,69,90,109,125,39,50% Male, 50% Female,25,dolliv,level-up,"plant"
squawkabilly-green-plumage,"intimidate, hustle, guts",82,96,51,51,45,92,50% Male, 50% Female,,,,"flying"
nacli,"purifying-salt, sturdy, clear-body",55,55,75,35,35,25,50% Male, 50% Female,24,naclstack,level-up,"mineral"
naclstack,"purifying-salt, sturdy, clear-body",60,60,100,65,35,35,50% Male, 50% Female,24,naclstack,level-up,"mineral"
garganacl,"purifying-salt, sturdy, clear-body",100,100,130,90,45,35,50% Male, 50% Female,24,naclstack,level-up,"mineral"
charcadet,"flash-fire, flame-body",40,50,40,40,50,35,50% Male, 50% Female,,armarouge,use-item,"humanshape"
armarouge,"flash-fire, weak-armor",85,60,100,80,125,75,50% Male, 50% Female,,armarouge,use-item,"humanshape"
ceruledge,"flash-fire, weak-armor",75,125,80,100,60,85,50% Male, 50% Female,,armarouge,use-item,"humanshape"
tadbulb,"own-tempo, static, damp",61,31,41,35,59,45,50% Male, 50% Female,,bellibolt,use-item,"water1"
bellibolt,"electromorphosis, static, damp",109,64,91,83,103,45,50% Male, 50% Female,,bellibolt,use-item,"water1"
wattrel,"wind-power, volt-absorb, competitive",40,40,35,40,55,70,50% Male, 50% Female,25,kilowattrel,level-up,"water1, flying"
kilowattrel,"wind-power, volt-absorb, competitive",70,70,60,60,105,125,50% Male, 50% Female,25,kilowattrel,level-up,"water1, flying"
maschiff,"intimidate, run-away, stakeout",60,78,60,51,40,51,50% Male, 50% Female,30,mabosstiff,level-up,"ground"
mabosstiff,"intimidate, guard-dog, stakeout",80,120,90,70,60,85,50% Male, 50% Female,30,mabosstiff,level-up,"ground"
shroodle,"unburden, pickpocket, prankster",40,65,35,35,40,75,50% Male, 50% Female,28,grafaiai,level-up,"ground"
grafaiai,"unburden, poison-touch, prankster",63,95,65,72,80,110,50% Male, 50% Female,28,grafaiai,level-up,"ground"
bramblin,"wind-rider, infiltrator",40,65,30,35,45,60,50% Male, 50% Female,,brambleghast,other,"plant"
brambleghast,"wind-rider, infiltrator",55,115,70,70,80,90,50% Male, 50% Female,,brambleghast,other,"plant"
toedscool,"mycelium-might, mycelium-might",40,40,35,100,50,70,50% Male, 50% Female,30,toedscruel,level-up,"plant"
toedscruel,"mycelium-might, mycelium-might",80,70,65,120,80,100,50% Male, 50% Female,30,toedscruel,level-up,"plant"
klawf,"anger-shell, shell-armor, regenerator",70,100,115,55,35,75,50% Male, 50% Female,,,,"water3"
capsakid,"chlorophyll, insomnia, klutz",50,62,40,40,62,50,50% Male, 50% Female,,scovillain,use-item,"plant"
scovillain,"chlorophyll, insomnia, moody",65,108,65,65,108,75,50% Male, 50% Female,,scovillain,use-item,"plant"
rellor,"compound-eyes, shed-skin",41,50,60,58,31,30,50% Male, 50% Female,,rabsca,other,"bug"
rabsca,"synchronize, telepathy",75,50,85,100,115,45,50% Male, 50% Female,,rabsca,other,"bug"
flittle,"anticipation, frisk, speed-boost",30,35,30,30,55,75,50% Male, 50% Female,35,espathra,level-up,"flying"
espathra,"opportunist, frisk, speed-boost",95,60,60,60,101,105,50% Male, 50% Female,35,espathra,level-up,"flying"
tinkatink,"mold-breaker, own-tempo, pickpocket",50,45,45,64,35,58,Female only,24,tinkatuff,level-up,"fairy"
tinkatuff,"mold-breaker, own-tempo, pickpocket",65,55,55,82,45,78,Female only,24,tinkatuff,level-up,"fairy"
tinkaton,"mold-breaker, own-tempo, pickpocket",85,75,77,105,70,94,Female only,24,tinkatuff,level-up,"fairy"
wiglett,"gooey, rattled, sand-veil",10,55,25,25,35,95,50% Male, 50% Female,26,wugtrio,level-up,"water3"
wugtrio,"gooey, rattled, sand-veil",35,100,50,70,50,120,50% Male, 50% Female,26,wugtrio,level-up,"water3"
bombirdier,"big-pecks, keen-eye, rocky-payload",70,103,85,85,60,82,50% Male, 50% Female,,,,"flying"
finizen,"water-veil, water-veil",70,45,40,40,45,75,50% Male, 50% Female,38,palafin,other,"ground, water2"
palafin-zero,"zero-to-hero, zero-to-hero",100,70,72,62,53,100,50% Male, 50% Female,38,palafin,other,"ground, water2"
varoom,"overcoat, slow-start",45,70,63,45,30,47,50% Male, 50% Female,40,revavroom,level-up,"mineral"
revavroom,"overcoat, filter",80,119,90,67,54,90,50% Male, 50% Female,40,revavroom,level-up,"mineral"
cyclizar,"shed-skin, regenerator",70,95,65,65,85,121,50% Male, 50% Female,,,,"ground"
orthworm,"earth-eater, sand-veil",70,85,145,55,60,65,50% Male, 50% Female,,,,"ground"
glimmet,"toxic-debris, corrosion",48,35,42,60,105,60,50% Male, 50% Female,35,glimmora,level-up,"mineral"
glimmora,"toxic-debris, corrosion",83,55,90,81,130,86,50% Male, 50% Female,35,glimmora,level-up,"mineral"
greavard,"pickup, fluffy",50,61,60,55,30,34,50% Male, 50% Female,30,houndstone,level-up,"ground"
houndstone,"sand-rush, fluffy",72,101,100,97,50,68,50% Male, 50% Female,30,houndstone,level-up,"ground"
flamigo,"scrappy, tangled-feet, costar",82,115,74,64,75,90,50% Male, 50% Female,,,,"flying"
cetoddle,"thick-fat, snow-cloak, sheer-force",108,68,45,40,30,43,50% Male, 50% Female,,cetitan,use-item,"ground"
cetitan,"thick-fat, slush-rush, sheer-force",170,113,65,55,45,73,50% Male, 50% Female,,cetitan,use-item,"ground"
veluza,"mold-breaker, sharpness",90,102,73,65,78,70,50% Male, 50% Female,,,,"water2"
dondozo,"unaware, oblivious, water-veil",150,100,115,65,65,35,50% Male, 50% Female,,,,"water2"
tatsugiri-curly,"commander, storm-drain",68,50,60,95,120,82,50% Male, 50% Female,,,,"water2"
